id,title,authors,year,source_type,evidence_level,stroke_scope,key_use,browse_url,download_url,doi,license_or_access,notes
S01,BWF Coach Education Level 1 Manual / Badminton Coaches Manual,Badminton World Federation / coach education material,n.d.,official coaching manual / PDF,official_coaching_direct_clear,"forehand clear, overhead action, attacking/defensive clear",定义高远球目的、阶段、准备/引拍/挥拍/随挥技术要点；说明 attacking clear 与 defensive clear 的差异。,https://development.bwfbadminton.com/coaches/level-1,http://sfbadminton.tenniscity.org/wp-content/uploads/sites/29/2020/03/bwf_coach_education_coaches_manual_l1-2nd-edition-midres.pdf,,public PDF mirror; verify official licensing before redistribution,RAG 中建议只保存结构化摘录和链接，不把整本手册公开再分发。[2026-06 核查] 原 badminton-israel.co.il 镜像 PDF 已 404；browse 改为 BWF 官方教练页，download 改为可用镜像。
S02,4. Forehand & Backhand Clear,University of Georgia Pressbooks: Badminton textbook chapter,n.d.,open educational resource / HTML,teaching_direct_clear,"forehand clear, backhand clear",教学动作线索：侧身、非持拍脚在前、击球点高于肩、肩髋旋转、随挥到身体另一侧。,https://open.online.uga.edu/badminton/chapter/forehandandbackhandclear/,,,CC BY 4.0 as stated by the page,适合作为通俗训练动作描述，不作为高精度动力学证据。[2026-06 核查] 原 raider.pressbooks.pub 域名整站 404；正确地址在 UGA open.online.uga.edu，章节标题为 '4. Forehand & Backhand Clear'，CC BY 4.0。
S03,How to Hit a Forehand Overhead Clear,Sikana English,n.d.,coaching instruction / HTML,teaching_direct_clear,forehand overhead clear,将正手头顶高远球拆为 preparation、shot、recovery；描述持拍腿落地、肘伸展、前臂旋转等教学线索。,https://www.sikana.tv/en/sport/badminton/how-to-hit-a-forehand-overhead-clear,,,public web page,动作提示有教学价值；腕/手相关线索在本知识库中需降权或标注为非核心。
S04,Biomechanical Principles Applied to Badminton Power Strokes,"Waddell, D. B.; Gowitzke, B. A.",2000,conference paper / PDF,biomechanics_overhead_power_strokes,forehand and backhand clear/smash/power strokes,强调肩部旋转与桡尺关节旋前/旋后的重要性，反驳“主要靠手腕甩”的简单解释；适合解释高远球远端释放。,https://ojs.ub.uni-konstanz.de/cpa/article/view/2233,https://ojs.ub.uni-konstanz.de/cpa/article/download/2233/2089/,,open conference archive,论文涉及高远球与杀球等 power strokes；引用时不要把杀球速度贡献比例直接当作高远球定量真值。
S05,A Biomechanical Analysis of Clear Strokes in Badminton Executed by Youth Players of Different Skill Levels,"Sørensen, K.; de Zee, M.; Rasmussen, J.",2010/2011,conference paper / PDF,peer_reviewed_direct_clear,forehand clear and backhand clear,直接研究高远球，关注不同技能水平、多个自由度以及近端—远端协调/能量传递。,https://vbn.aau.dk/en/publications/a-biomechanical-analysis-of-clear-strokes-in-badminton-executed-b/,https://projekter.aau.dk/projekter/files/42678547/articledone.pdf,,university repository / open PDF,核心直接证据之一；建议优先纳入 RAG direct_clear 分区。
S06,A Biomechanical Analysis of Lower Limb Movement on the Backcourt Forehand Clear Stroke among Badminton Players of Different Levels,"Zhao, X.; Li, S.",2019,journal article / open access,peer_reviewed_direct_clear_lower_limb,backcourt forehand clear,直接研究后场正手高远球下肢运动学和足底压力；用于验证支撑脚、踝膝髋和足底压力/接触合理性。,https://onlinelibrary.wiley.com/doi/abs/10.1155/2019/7048345,https://pmc.ncbi.nlm.nih.gov/articles/PMC6348812/,10.1155/2019/7048345,open access / CC BY 4.0,适合下肢与足底压力验证；不直接给出全身肌肉激活真值。
S07,Differences in backcourt forehand clear stroke between novice players and experienced badminton players: based on body segment acceleration data,"Huang, et al.",2025,journal article / open access,peer_reviewed_direct_clear_IMU,backcourt forehand clear,使用多体段 IMU 比较新手和有经验球员；用于 RAG 中关于体段加速度、稳定性、能量传递效率的证据。,https://link.springer.com/article/10.1186/s13102-025-01163-w,https://link.springer.com/content/pdf/10.1186/s13102-025-01163-w.pdf,10.1186/s13102-025-01163-w,open access,很适合给 SMPL/IMU/体段加速度验证使用；注意样本与设备条件。
S08,Biomechanical Analysis of Different Badminton Forehand Overhead Strokes of Taiwan Elite Female Players,"Tsai, C.-L.; Hsueh, Y.-C.; Pan, K.-M.; Chang, S.-S.; Yu, C.-Y.",2008,conference paper / PDF,peer_reviewed_overhead_forehand_multi_stroke,"forehand overhead smash, clear, drop",比较正手头顶杀球、高远球、吊球；报告 Vicon 300 Hz、击球初速度/角度、COM 垂直速度、肩内旋角速度等差异。,https://ojs.ub.uni-konstanz.de/cpa/article/view/1997,https://ojs.ub.uni-konstanz.de/cpa/article/download/1997/1865/0,,open conference archive,直接包含 clear，但许多结论是三类头顶击球对比；引用需说明上下文。
S09,Steps for Arm and Trunk Actions of Overhead Forehand Stroke Used in Badminton Games across Skill Levels,"Wang, J.; Liu, W.; Moffit, J.",2009,journal article / abstract,skill_level_overhead_forehand,overhead forehand strokes across skill levels,将上肢和躯干动作分为技能阶段；支持“高级运动员更明显使用躯干旋转和成熟上肢动作”的论点。,https://pubmed.ncbi.nlm.nih.gov/19831099/,https://journals.sagepub.com/doi/abs/10.2466/PMS.109.1.177-186,10.2466/PMS.109.1.177-186,abstract public; full text may require access,用于技能等级/动作成熟度，不一定只针对高远球。
S10,"The Science of Badminton: Game Characteristics, Anthropometry, Physiology, Visual Fitness and Biomechanics","Phomsoupha, M.; Laffaye, G.",2015,review article,badminton_biomechanics_review,"badminton overall, including biomechanics literature",总览羽毛球科学与生物力学文献，可作为 RAG 文献导航和术语规范来源。,https://pubmed.ncbi.nlm.nih.gov/25549780/,https://www.worldbadminton.com/reference/research/documents/The_Science_of_Badminton_Game.pdf,10.1007/s40279-014-0287-2,journal article; PDF mirror availability should be verified,综述用于定位文献，不替代具体高远球研究。
